연번,구,유형,주소,세부 위치,위도,경도
2,관악구,폐건전지,관악로 285,봉천동아아파트 109동,,
2,관악구,폐건전지,관악로 263,관악브라운스톤 지하주차장 입구,,
2,관악구,폐건전지,관악로 255-7,자치회관 입구,,
2,관악구,폐건전지,양녕로6나길 18,신봉아파트 정문 왼쪽,,
2,관악구,폐건전지,관악로40길 39 ,청림동 주민센터,,
2,관악구,폐건전지,쑥고개로 44,청룡동주민센터 입구,,
2,관악구,폐건전지,청룡9길 12-39,청룡동 자치회관 입구,,
2,관악구,폐건전지,봉천로 576,동아타운아파트 관리사무소,,
2,관악구,폐건전지,낙성대로4가길 5,낙성대동주민센터,,
2,관악구,폐건전지,남부순환로248길 56,낙성대현대아파트 101동,,
2,관악구,폐건전지,남부순환로248길 56,낙성대현대아파트 102동,,
2,관악구,폐건전지,인헌12길 46-2,은천1단지아파트 경비실,,
2,관악구,폐건전지,인헌9길 35,"인헌중, 별관",,
2,관악구,폐건전지,남현1가길 29,남현동주민센터 앞,,
2,관악구,폐건전지,신사로 142,신사동주민센터,,
2,관악구,폐건전지,관천로27길 2,우방아파트 단지내,,
2,관악구,폐건전지,조원로12길 25,조원동주민센터,,
2,관악구,폐건전지,난곡로 249,미성동주민센터,,
2,관악구,폐건전지,문성로 74,건영아파트 가동 앞,,
2,관악구,폐건전지,난곡로52길 16,자치회관 입구,,
2,관악구,폐건전지,난곡로30길 40,난곡동주민센터,,
2,관악구,폐건전지,난향길 41,국화빌라 앞,,
2,관악구,폐건전지,난곡로 67,난향동주민센터,,
2,관악구,폐건전지,신림로29길 8,신림현대아파트 관리사무소,,
2,관악구,폐건전지,신림로29길 6,서림동 주민센터,,
2,관악구,폐건전지,신림로 40,신림중학교 1층 복도,,
2,관악구,폐건전지,광신길 86,신림주공아파트 2단지 204동 앞,,
2,관악구,폐건전지,광신길 160,신림주공아파트 1단지 관리사무소 옆,,
2,관악구,폐건전지,호암로 520,삼성동 자치회관 내,,
2,관악구,폐건전지,호암로 399,삼성산주공아파트 307동 앞,,
2,관악구,폐건전지,호암로 417,국제 산장아파트 관리사무소 옆,,
2,관악구,폐건전지,호암로 546,미림여고 창고,,
2,관악구,폐건전지,신림로3가길 45-10,건영5차아파트,,
2,관악구,폐건전지,신림로11길 151,신동아아파트,,
2,관악구,폐건전지,신림로3가길 39-24,삼성중학교,,
2,관악구,폐건전지,신림로 111,대학동 주민센터 입구,,
3,광진구,폐건전지,서울특별시 광진구 아차산로 549 ,광장현대파크빌,,
3,광진구,폐건전지,서울특별시 광진구 아차산로78길 75,골든텔오피스텔,,
3,광진구,폐건전지,서울특별시 광진구 아차산로 637,워커힐,,
3,광진구,폐건전지,서울특별시 광진구 아차산로78가길 31 ,연세리버빌,,
3,광진구,폐건전지,서울특별시 광진구 아차산로 552,극동1차,,
3,광진구,폐건전지,서울특별시 광진구 아차산로 552,극동2차,,
3,광진구,폐건전지,광진구 천호대로143길 8-8,오일뱅크 뒤,,
3,광진구,폐건전지,서울특별시 광진구 아차산로53길 82,동주민센터,,
3,광진구,폐건전지,서울특별시 광진구 아차산로 599,신동아파밀리에,,
3,광진구,폐건전지,서울특별시 광진구 광장로3길 18-13,유천빌라,,
3,광진구,폐건전지,서울특별시 광진구 광장로3길 22,미도빌라,,
3,광진구,폐건전지,서울특별시 광진구 광장로9길 6,극동빌라,,
3,광진구,폐건전지,서울특별시 광진구 아차산로 628,,,
3,광진구,폐건전지,서울특별시 광진구 광장로7길 31,현대빌라트,,
